year; month;day;hour;minutes;lat;lon;depth;mb;mw
2018;4;5;19;29;33.8403;-119.7162;10.4;5.1;5.4
2018;11;19;20;18;32.1785;-115.2891;16.3;4.6;4.9
2019;7;4;17;33;35.6695;-117.5276;12.2;5.6;6.5
2019;7;5;11;7;35.7222;-117.5744;12.3;5.2;5.4
2019;7;6;3;19;35.7232;-117.6203;9.3;5.9;7
2019;7;6;9;28;35.8786;-117.7153;10;4.4;5
2019;7;12;13;11;35.6228;-117.5662;11.3;4.5;4.9
2019;7;18;3;59;36.1147;-117.8787;4.7;4.3;4.7
2019;7;26;0;42;35.9281;-117.6824;3.6;4.6;4.8
2019;8;22;20;49;35.8964;-117.6996;7.1;4.7;5.1
2019;10;15;5;33;37.9499;-122.0743;14;4.5;4.6
2019;10;15;19;42;36.6212;-121.3112;9.4;4.8;4.8
2020;3;21;1;33;39.1275;-119.7101;6.7;4.6;4.9
2020;4;4;1;53;33.4818;-116.5136;10.5;4.6;5
2020;4;11;14;36;38.0541;-118.775;8;4.8;5.3
2020;4;11;16;22;38.0364;-118.7504;6;4;4.7
2020;5;10;22;7;33.0114;-116.0215;12.5;4.4;4.8
2020;5;15;11;3;38.1142;-117.8613;11.4;5.9;6.5
2020;5;16;11;50;38.206;-117.6942;7;4.4;4.7
2020;5;20;12;36;38.1868;-117.7528;5.7;4.7;4.9
2020;5;22;0;22;38.2279;-117.7936;7.3;4.4;4.8
2020;6;4;1;32;35.5911;-117.3931;8.5;5.2;5.6
2020;6;8;3;24;38.2054;-117.7859;8;4.7;4.9
2020;6;23;0;25;36.4474;-117.9709;5;4.5;4.8
2020;6;24;17;40;36.4495;-117.9772;10.6;5.5;5.8
2020;8;19;17;32;36.4646;-117.5033;1.5;4.7;4.8
2020;10;1;0;31;33.0368;-115.6352;10.5;4.6;5
2020;11;13;9;13;38.1712;-117.8454;9.4;5;5.4
2020;12;1;23;32;38.1744;-118.0466;9.4;4.9;5
2020;12;3;5;15;38.1634;-118.047;6.8;4.8;4.9
2020;12;12;7;50;38.1309;-118.0947;10.7;4.8;5
2020;12;14;21;20;38.1427;-118.1059;8.2;4.8;4.9
2021;3;31;8;56;32.3749;-115.2679;12;4.3;4.8
2021;5;7;4;35;39.4579;-120.3201;10.9;4.4;4.7
2021;6;5;17;55;33.1296;-115.6451;10.5;4.9;5.3
2021;7;8;22;49;38.5096;-119.4778;11;5.6;6
2021;8;31;17;21;40.8881;-114.9309;2.6;4.7;4.8
2021;10;25;23;42;35.7577;-121.365;0.6;4.8;4.8
2022;1;6;0;28;37.3102;-117.906;9.9;4.7;4.9
2022;7;15;1;19;35.691;-117.5702;8.8;4.4;4.8
2022;10;25;18;42;37.3209;-121.6898;9.5;4.9;5.1
2023;1;1;18;35;40.4115;-123.9236;31.6;4.9;5.4
2023;5;11;23;19;40.2048;-121.1236;12;5.3;5.5
2023;5;12;10;18;40.1775;-121.074;2.4;5;5.2
2023;8;20;21;41;34.4122;-119.1843;11;5.1;5.1
2023;9;8;17;24;40.9239;-121.5911;12.2;5;5
2023;12;1;7;43;32.7557;-115.8696;12.2;4.6;4.8
