year,month,day,hour,minutes,lat,lon,depth,mb,ms
2008,6,13,18,31,40.4538,119.8228,4.6,4.0,n.a
2008,7,29,18,42,33.901,117.8228,15.7,5.4,n.a
2008,9,6,4,0,37.7569,122.0122,14.1,4.9,n.a
2008,10,2,9,41,34.0836,116.968,15.2,3.8,n.a
2008,11,20,19,23,32.4232,115.3667,16.5,4.7,n.a
2008,12,21,17,35,36.6263,121.386,17.4,3.9,n.a
2008,12,26,12,19,39.9191,120.9407,11.9,4.2,n.a
2008,12,28,5,17,32.5624,115.5315,29.3,n.a,3.9
2009,1,9,3,49,34.0766,117.3213,14.5,4.3,n.a
2009,2,16,1,3,35.2909,119.4058,1.2,3.6,n.a
2009,3,24,11,55,33.2943,115.7326,8.4,4.3,n.a
2009,4,12,9,41,32.1302,115.7135,16.3,n.a,3.2
2009,5,2,1,11,34.0135,118.9032,17.5,3.9,n.a
2009,5,8,20,27,34.4305,119.147,4.6,4.1,n.a
2009,5,18,3,39,33.9333,118.3492,11.3,4.7,n.a
2009,6,20,12,32,35.6813,120.886,2.4,4.3,n.a
2009,9,6,3,20,35.524,120.6787,1.1,4.0,n.a
2009,9,19,22,55,32.3889,115.266,15.5,4.8,n.a
2009,9,20,0,36,32.3996,115.2849,14.4,4.0,n.a
2009,10,1,10,1,36.3605,117.9026,10.6,4.6,n.a
2009,10,3,1,16,36.4194,117.8027,6.0,4.6,n.a
2009,10,3,11,37,36.3639,117.9694,15.6,3.8,n.a
2009,11,15,22,45,33.2069,119.2244,14.2,4.4,n.a
2009,12,22,23,40,39.7941,123.3567,14.1,3.3,n.a
2009,12,30,18,48,32.5069,115.2433,8.2,5.5,n.a
2010,1,4,14,24,40.2639,123.8658,11.7,3.9,n.a
2010,1,12,2,36,33.9593,116.8926,15.7,3.8,n.a
2010,1,15,8,23,36.0039,117.8232,9.6,4.2,n.a
2010,1,16,12,3,33.8906,117.0712,5.4,3.5,n.a
2010,2,14,21,35,32.2412,116.5359,4.9,3.6,n.a
2010,3,1,9,6,36.0419,117.849,4.6,3.4,n.a
2010,3,16,11,3,33.9939,118.0676,15.0,4.1,n.a
2010,3,31,9,20,32.3448,115.2695,14.7,n.a,3.6
2010,4,4,22,50,32.0714,115.1622,0.9,5.2,n.a
2010,4,4,23,4,32.1627,115.1832,5.9,4.2,n.a
2010,4,4,23,15,32.199,115.2215,2.0,5.2,n.a
2010,4,4,23,25,32.2133,115.229,4.7,5.3,n.a
2010,4,4,23,33,32.3466,115.3447,5.9,4.5,n.a
2010,4,4,23,37,32.4775,115.5495,4.4,4.5,n.a
2010,4,5,1,6,32.3115,115.4315,3.6,4.0,n.a
2010,4,5,2,47,32.3028,115.3304,0.5,3.6,n.a
2010,4,5,2,54,32.4839,115.6147,1.7,4.3,n.a
2010,4,5,4,55,32.0633,115.0746,0.9,4.0,n.a
2010,4,5,6,17,32.6394,115.7777,3.6,3.3,n.a
2010,4,5,13,33,32.6735,115.7862,3.4,4.5,n.a
2010,4,6,0,56,32.1385,115.1793,1.0,3.8,n.a
2010,4,6,1,22,32.0686,115.0523,9.4,3.6,n.a
2010,4,6,1,58,32.2871,115.3548,8.8,3.9,n.a
2010,4,6,4,12,32.603,115.7069,4.9,3.9,n.a
2010,4,6,10,6,32.6647,115.7892,8.1,3.9,n.a
2010,4,6,17,31,32.09,115.0498,7.9,3.5,n.a
2010,4,6,22,9,32.608,115.7191,13.5,4.0,n.a
2010,4,7,4,23,32.0576,115.1368,6.0,3.6,n.a
2010,4,7,11,4,32.2947,115.4217,1.7,3.6,n.a
2010,4,8,2,47,32.6802,115.767,8.8,4.0,n.a
2010,4,8,16,44,32.2307,115.2888,9.2,5.2,n.a
2010,4,9,5,32,32.1958,115.2877,14.7,n.a,3.3
2010,4,9,23,5,32.2137,115.2467,10.7,4.2,n.a
2010,4,10,9,12,32.6556,115.7383,3.2,4.3,n.a
2010,4,11,16,42,32.2633,115.3249,1.9,4.3,n.a
2010,4,14,22,34,32.154,115.1993,9.9,3.9,n.a
2010,4,15,9,20,32.0646,115.0613,0.1,4.0,n.a
2010,4,17,16,9,32.273,115.3543,2.2,3.7,n.a
2010,4,22,14,22,32.6635,115.7916,7.6,3.7,n.a
2010,4,22,17,12,32.6729,115.7886,9.9,4.0,n.a
2010,4,25,18,4,32.2826,115.3565,7.3,3.2,n.a
2010,4,27,10,55,32.6947,115.8331,11.5,4.2,n.a
2010,5,4,11,26,32.2482,115.2968,9.6,4.7,n.a
2010,5,8,19,23,35.0052,119.257,8.7,3.8,n.a
